#separator:tab
#html:false
#notetype:Telugu Production
#deck:Telugu::Vocab
#guid column:1
#tags column:7
#columns:guid	English	Romanized	TeluguScript	Audio	Example	Tags
W0001	I	nēnu	నేను		nēnu vidyārthini.	src::site src::anki src::book1000 src::top1000 cat::pronoun topic::pronouns-demonstratives
W0002	you (informal — close friends/family only); you (informal)	nuvvu	నువ్వు		nuvvu vidyārthivi.	src::site src::anki cat::pronoun topic::pronouns-demonstratives flag::multi-gloss
W0003	you (formal / plural — the safe default); you (formal/plural); You (Respect); you	mīru	మీరు		mīru ṭīcharu.	src::site src::anki src::book1000 src::top1000 cat::pronoun topic::pronouns-demonstratives flag::multi-gloss
W0004	own (his/her own); his	tana	తన		tana venaka	src::site src::top1000 cat::grammar flag::multi-gloss
W0005	he (neutral — the default form); he (informal); he	atanu	అతను		atanu vidyārthi.	src::site src::anki src::top1000 cat::pronoun topic::pronouns-demonstratives flag::multi-gloss
W0006	he (formal — to/about an elder); he (respectful)	āyana	ఆయన		āyana ṭīcharu.	src::site src::anki cat::pronoun topic::pronouns-demonstratives flag::multi-gloss
W0007	she (neutral — the default form); she (informal); She	āme	ఆమె		āme vidyārthi.	src::site src::anki src::book1000 src::top1000 cat::pronoun topic::pronouns-demonstratives flag::multi-gloss
W0008	she (formal — to/about an elder); she (respectful)	āviḍa	ఆవిడ		āviḍa ṭīcharu.	src::site src::anki cat::pronoun topic::pronouns-demonstratives flag::multi-gloss
W0009	we (exclusive — not the listener); we (exclusive); We	mēmu	మేము		mēmu vidyārthulamu.	src::site src::anki src::book1000 src::top1000 cat::pronoun topic::pronouns-demonstratives flag::multi-gloss
W0010	we (inclusive — includes the listener); we (inclusive)	manamu	మనము		manam vidyārthulamu.	src::site src::anki cat::pronoun topic::pronouns-demonstratives flag::multi-gloss
W0011	they (people); they	vāḷḷu	వాళ్ళు		vāḷḷu vidyārthulu.	src::site src::anki cat::pronoun topic::pronouns-demonstratives flag::multi-gloss
W0012	this / it — the near form of adi; this; It; which	idi	ఇది		idi kāru.	src::site src::anki src::book1000 src::top1000 cat::pronoun-demonstrative topic::pronouns-demonstratives flag::multi-gloss
W0013	it / she (informal) — that one; that	adi	అది		adi kāru.	src::site src::anki cat::pronoun-demonstrative topic::pronouns-demonstratives flag::multi-gloss
W0014	these (objects / non-human — near form of avi); these	ivi	ఇవి		ivi kārlu.	src::site src::anki cat::pronoun-demonstrative topic::pronouns-demonstratives flag::multi-gloss
W0015	they (things / non-human); those	avi	అవి		avi kārlu.	src::site src::anki cat::pronoun-demonstrative topic::pronouns-demonstratives flag::multi-gloss
W0016	my (before a noun); my	nā	నా		nā pēru Raj.	src::site src::anki src::top1000 cat::possessive topic::pronouns-demonstratives flag::multi-gloss
W0017	your (formal / plural — the safe default); your (formal); your	mī	మీ		mī pēru ēmiṭi?	src::site src::anki src::top1000 cat::possessive topic::pronouns-demonstratives flag::multi-gloss
W0018	their (people); their	vāḷḷa	వాళ్ళ		vāḷḷa pērlu.	src::site src::anki cat::possessive topic::pronouns-demonstratives flag::multi-gloss
W0019	what	ēmi	ఏమి		ēmi jarigindi?	src::site src::anki src::top1000 cat::grammar topic::question-words
W0020	who	evaru	ఎవరు		evaru vastunnāru?	src::site src::anki src::top1000 cat::grammar topic::question-words
W0021	how much	enta	ఎంత		idi enta?	src::site src::anki cat::question-word topic::question-words
W0022	no — it doesn't exist / isn't there / I don't have it; no / not / doesn't exist; no  [form of ఉండు]	lēdu	లేదు		lēdandi.	src::site src::anki cat::negation topic::essential-verbs-existence-state flag::multi-gloss flag::verbform
W0023	no — it is not (negating a statement); is not / no (emphatic); No	kādu	కాదు		idi kāru kādu.	src::site src::anki src::book1000 cat::negation topic::essential-verbs-existence-state flag::multi-gloss
W0024	elder brother (shortens to anna); Elder brother	annayya	అన్నయ్య		mā annayya ḍākṭar.	src::site src::book1000 cat::noun-family flag::multi-gloss
W0025	yes	avunu	అవును		avunandi.	src::site src::anki src::book1000 src::top1000 cat::response topic::essential-verbs-existence-state
W0026	no — I don't want it (declining); don't want	vaddu	వద్దు		vaddandi, thanks aṇḍi.	src::site src::anki cat::negation topic::essential-verbs-existence-state flag::multi-gloss
W0027	I did; I did (past)  [form of చేయి]	chēsānu	చేసాను		block — chālā pani chēsānu	src::site src::anki cat::other topic::essential-verbs-existence-state flag::inflected flag::multi-gloss flag::verbform
W0028	come (base verb — becomes raṇḍi with aṇḍi); to come; dude / hey (casual male); to come (base)  [form of రా]	rā	రా		rā + aṇḍi → raṇḍi	src::site src::anki cat::verb topic::core-motion-verbs flag::multi-gloss flag::verbform
W0029	"goodbye (lit. ""I'll come back""); I will come; I will come (future)  [form of రా]"	vastānu	వస్తాను		vastānandi.	src::site src::anki cat::formula topic::core-motion-verbs flag::inflected flag::multi-gloss flag::verbform
W0030	please come in / welcome (colloquial); please come (formal)  [form of రా]	raṇḍi	రండి		raṇḍi, raṇḍi.	src::site src::anki cat::formula topic::core-motion-verbs flag::inflected flag::multi-gloss flag::verbform
W0031	enough (stopping more food); put	chālu	చాలు		chālu, chālā bāgundi	src::site src::top1000 cat::other flag::multi-gloss
W0032	to fall; to lie down / fall; to fall (base)	paḍu	పడు		eduru paḍu — to run into	src::site src::anki cat::verb topic::core-motion-verbs flag::multi-gloss
W0033	I've eaten; I ate; I ate (past)  [form of తిను]	tinnānu	తిన్నాను		block — Lesson 9 explains it	src::site src::anki cat::other topic::daily-activity-verbs flag::inflected flag::multi-gloss flag::verbform
W0034	"to see, to look; to see / look; look / see (filler, ""see..."")  [form of చూడు]"	chūḍu	చూడు		chūstunnāḍu — he's looking	src::site src::anki cat::verb topic::daily-activity-verbs flag::multi-gloss flag::verbform
W0035	to hear, to listen; to hear / listen; hear  [form of విను]	vinu	విను		vinaḍu — he doesn't listen	src::site src::anki src::top1000 cat::verb topic::daily-activity-verbs flag::multi-gloss flag::verbform
W0036	a little, somewhat; Little	koncheṁ	కొంచెం		konchaṁ kaṣṭaṁ	src::site src::book1000 cat::other flag::multi-gloss
W0037	okay; Well	sarē	సరే		sarē aṇḍi.	src::site src::book1000 cat::response flag::multi-gloss
W0038	to be known (I know); to know; to know (base); know; knew	telusu	తెలుసు		nāku telusu — I know	src::site src::anki src::top1000 cat::verb topic::daily-activity-verbs flag::multi-gloss
W0039	step, foot; to ask; ask; step; foot	aḍugu	అడుగు		aḍugu kalipi	src::site src::anki src::top1000 cat::noun topic::daily-activity-verbs flag::multi-gloss
W0040	it got done, it happened; it happened (past)	ayyindi	అయ్యింది		chālā pani ayyindi	src::site src::anki cat::other topic::verb-drill flag::inflected flag::multi-gloss
W0041	smile, laugh; to laugh; Smile; laugh	navvu	నవ్వు		adi navvitē	src::site src::anki src::book1000 src::top1000 cat::noun topic::daily-activity-verbs flag::multi-gloss
W0042	to happen; to happen / occur (base)	jarugu	జరుగు		ēmi jariginā	src::site src::anki cat::verb topic::verb-drill flag::multi-gloss
W0043	"our (before a noun — also ""my"" for close family); our"	mā	మా		mā amma pēru Sunita.	src::site src::top1000 cat::possessive flag::multi-gloss
