guid	lesson	start	end	total
I73e723fcf08f	1	0.0	1.78	85.25
I19295bb697b3	1	2.48	4.25	85.25
Ib1ba3bfbfc7b	1	4.95	6.75	85.25
I2c69f19981a1	1	7.45	9.06	85.25
I42902f2c3dc4	1	9.76	23.61	85.25
Ibe79ef813c76	1	24.31	27.88	85.25
I3a19bdfaadee	1	28.58	32.28	85.25
Ieff0ea10e840	1	32.98	34.68	85.25
I93a7cfc78b4d	1	35.38	37.57	85.25
Ic74a27688304	1	38.27	40.04	85.25
I6db8b2dbe5f1	1	40.74	42.78	85.25
Iddc0160d859f	1	43.48	46.96	85.25
I5ec19d8debde	1	47.66	52.01	85.25
I25fdc6c74966	1	52.71	56.96	85.25
Ia2c0b732f9c3	1	57.66	61.93	85.25
I7e1c87015269	1	62.63	66.78	85.25
I05a7832f5191	1	67.48	71.34	85.25
If46bb67acb5e	1	72.04	76.63	85.25
Ida14c78a86ba	1	77.33	80.9	85.25
I5f3c2651d69d	1	81.6	85.25	85.25
Ifa170566d3f1	2	0.0	1.94	107.39
I05465b345b53	2	2.64	6.1	107.39
I2f42c5260d32	2	6.8	19.33	107.39
I3003e039745d	2	20.03	27.11	107.39
I69d6116bfa1c	2	27.81	38.61	107.39
Id5985da21d38	2	39.31	41.4	107.39
I3bf5ff492b83	2	42.1	44.06	107.39
I7b6f43f40fb7	2	44.76	46.9	107.39
I2444eb955647	2	47.6	54.06	107.39
I7344a7f5a0c2	2	54.76	56.75	107.39
I73e423032153	2	57.45	59.32	107.39
Ief30651d9ca9	2	60.02	63.84	107.39
I7fc679bc3a28	2	64.54	70.66	107.39
I489ddce82dfc	2	71.36	73.85	107.39
I543c6ad924ab	2	74.55	77.48	107.39
I8672a4da51ae	3	105.58	107.36	151.51
Ib57fde47c176	2	80.66	84.35	107.39
I3c3927ea82df	2	85.05	87.28	107.39
Ie9c7aafa5761	2	87.98	90.22	107.39
I308c8e51c825	2	90.92	95.52	107.39
Iedf7fc031788	2	96.22	98.6	107.39
Iaeb68435d2cc	2	99.3	102.64	107.39
I15f94297a4f7	2	103.34	107.39	107.39
