guid	te_sha1
I02dcabd2365a	aff784cf2aa22426
I03425fc38efd	0faee19e4b4785f6
I047b1b3ed06e	d7faecbeeb45b047
I05465b345b53	3ea203a50efc601a
I05a7832f5191	70ba2751d0576ba7
I0623874b50c0	218989f3962cbe30
I063d0557e424	815da2b1b8c34af0
I08045844b8c3	43d27978129eda3d
I0b56ae0ba3c1	893194474fbd8a3f
I0b58458b8023	2e630f32eb21807d
I0d7b47b665be	3d025f1c0139711e
I1000da908074	ad46b9c54e3bcaf9
I1292e7fdf4b4	fa21db90461f0905
I142d6654af27	be84a268c731ce76
I147d0607198a	ddaebae21aac2c55
I150650ee13b0	a37c899951c18489
I15f94297a4f7	6b4f45b219f929b3
I19295bb697b3	7b81a575ebdae936
I1f776930634c	69f819be2e99ce27
I204bf139a596	b63bfefb15b8b6eb
I217f5c86f53c	60edc7988f3f6997
I22bee5e38cc1	3050d221b5764afa
I2444eb955647	93dfa60ffe8829bc
I25bbf0ba198d	96ca1223c1912d79
I25c45d255945	d1d39df2b188ada1
I25fdc6c74966	d1ae8823df10c55d
I25fe5896c836	1958979d587895a7
I26109fba25b4	ac665a7328653cb3
I2a4c59a7e035	dd345ecdd94edf72
I2b02706ba3ba	fbd763e6dd39ae0d
I2c69f19981a1	0c315f66ea00714a
I2f42c5260d32	eeef745ac08684a8
I3003e039745d	3bcfe9f175282644
I30213b88d557	cacad72d47f8a862
I308c8e51c825	1b5f852f7e7b0928
I30badefdaa98	fe489d02d993b7f2
I319a0570af8f	dc8f4f1838fe23f9
I35103606fbe7	c1f16ba39913cf6f
I389c032996b0	f9a5a03a29d09bf4
I38a53b437db7	1973a3d00f3e3613
I3a19bdfaadee	0f6874a30493fa4c
I3bf5ff492b83	adf95a978ce228bf
I3c3927ea82df	7a0b18f4c21b5f7d
I3d4aea660dfd	fc3ef7cb702ba85b
I400693aa5a83	68f94e7a4debe1a6
I406631063d12	dea017b15c4e6707
I42902f2c3dc4	19460e06a5986d52
I42f96ce8dde1	341b075b01dcc7ac
I43a26506575c	4e226287bb455ab0
