glyph	telugu	confidence	seen
þ		1.000	2120.7
$		1.000	1985.11
æ		1.000	1596.09
è		1.000	1119.92
Ð		0.987	965.22
…	ం	1.000	730.68
.	.	0.982	664.55
Æ		1.000	653.19
M		0.995	640.11
ü		1.000	621.26
A	అ	1.000	517.96
èþ		1.000	509.56
ÿ		1.000	438.55
þ$		1.000	435.79
ý		1.000	420.67
:	:	1.000	364.5
Ðè		1.000	339.89
ç		1.000	332.59
™	త	1.000	320.6
¯		0.844	306.93
¨	ది	1.000	293.33
G	ఎ	1.000	287.41
æþ		1.000	248.6
C	ఇ	1.000	245.16
æü		0.974	231.26
?	?	1.000	228.34
E	ఉ	1.000	226.25
y	డ	0.505	225.2
Mæ		1.000	219.11
ÿ$		0.997	196.3
°	ని	1.000	188.94
Ì		1.000	188.69
B	ఆ	1.000	185.99
³		1.000	185.14
Ææ		0.967	182.75
Ñ	వి	0.994	178.0
^		0.995	172.27
V		0.708	170.99
Ë	ల	0.709	170.62
æÿ		1.000	168.04
D	ఈ	1.000	160.31
$.	.	0.991	157.92
¯è	ను	0.550	149.7
H	ఏ	1.000	142.57
Ë$	లు	1.000	133.41
°²	న్ని	1.000	128.96
é		0.929	124.56
#		0.999	124.11
Ü		1.000	123.92
§	ద	0.645	121.05
yæ	డు	0.996	118.46
s		1.000	118.23
Ðé	వా	1.000	118.03
™è	త	1.000	117.56
ü$		0.708	114.92
ð		1.000	113.27
Ðèþ		0.659	111.58
æý		1.000	110.03
Ä		1.000	106.05
/	/	1.000	104.95
¯é	న్న	0.933	102.31
*	ూ	0.772	102.08
´		1.000	101.86
>	రా	0.953	99.27
Ò	మీ	0.968	95.92
¯èþ	న	0.943	95.06
ø	ో	1.000	94.61
V>	గా	1.000	94.5
²	ా	0.587	94.17
Z	లో	0.967	91.03
Æ>	రా	1.000	90.99
±	నీ	1.000	89.78
æþ$		0.988	88.97
ÿÑ	రవి	1.000	88.11
!	!	1.000	88.08
r	ట	0.999	86.32
Ææÿ	ర	0.994	86.08
ý$		1.000	84.63
_	చి	1.000	83.48
å	ళ్ళు	0.906	83.38
æÿ$		0.787	83.16
ì		0.999	80.92
ê		0.999	74.34
Mæü		0.700	73.99
èþ$		0.995	73.81
Ó	వ్వు	1.000	72.63
â		1.000	71.83
^ð	చె	1.000	70.61
ô		1.000	69.88
Ñ§	విద్	1.000	68.52
yì	డి	1.000	67.9
M>	కా	1.000	67.41
†	తి	1.000	65.68
E…	ఉం	0.954	65.66
™èþ	త	1.000	64.91
ç³	ప	0.904	64.08
õ		1.000	63.52
ìü	కి	1.000	62.42
A¨	అది	0.952	62.41
&	-	1.000	62.06
E¯	ఉన్న	0.950	60.22
¯èþ$	ను	1.000	59.89
yæþ	డు	0.631	58.69
Ï	్ల	0.734	58.09
…¨	ంది	1.000	57.95
æü$	కు	0.657	57.91
yìþ	డి	1.000	57.18
Í	లి	1.000	56.75
$$		0.999	56.32
Ç	రి	0.999	56.22
é²	న్నా	1.000	56.16
-		1.000	55.83
P	క్క	0.960	55.61
ó		0.573	55.42
¡	తీ	0.998	55.26
þ*	మా	1.000	54.88
Ææÿ$	రు	1.000	53.71
§æ	ద	0.708	53.64
Ðèþ$	మ	1.000	53.31
Ðð		0.958	52.99
¯é²	న్నా	1.000	52.98
Væ		0.588	52.9
¨.	ది.	1.000	52.76
J	ఒక	0.947	52.51
Mø	కో	1.000	50.48
ÌZ	లో	1.000	50.04
Mæü$	కు	0.998	49.91
^è	చ	0.664	49.84
Ìô		1.000	49.13
þ#		0.961	49.06
þ$.	.	0.768	48.95
BÐ	ఆమె	1.000	48.93
óþ	ే	0.945	48.25
GÐ	ఎవరు	0.621	47.76
Æÿ	యి	0.996	47.58
Mì	కి	1.000	47.46
ìý	టి	1.000	47.24
yæþ$	డు	1.000	47.12
Äæ		1.000	46.86
º	బ	1.000	46.56
a	చీ	0.589	45.21
æÿÑ	రవి	1.000	44.81
E¯é	ఉన్న	1.000	44.69
BÄ	ఆయన	1.000	44.6
ÆæÿÑ	రవి	1.000	44.04
ö	కొ	1.000	43.79
yé	డా	0.999	43.41
Mö	కొ	1.000	43.35
Å	య్య	0.692	43.09
í	పి	1.000	42.78
$…		0.548	42.3
Vø	గో	1.000	41.86
Ò$	మీ	0.991	41.59
ù	పో	1.000	41.56
$å	ళ్ళు	0.892	41.29
Mìü	కి	1.000	41.15
»		1.000	41.02
þ…	ం	0.927	40.95
$Ï	్లు	0.997	40.43
$¯		0.986	40.31
#Ó	వ్వు	1.000	39.31
ò	పెట్	0.998	39.19
ËÏ	ల్ల	1.000	39.12
™ð	తె	1.000	38.99
^èþ	చ	1.000	38.79
Væü	గ	0.980	38.52
ñ		1.000	37.94
Ìê	లా	1.000	37.63
æý$		1.000	37.51
ðþ		0.994	37.14
´ë	పా	1.000	36.45
t	టరు	0.508	35.63
³#	పు	1.000	35.35
þÆ		1.000	35.05
A™	అత	1.000	34.83
ë		0.816	34.6
^ðþ	చె	1.000	34.51
ý§	లేదు	1.000	34.39
þ²	న్న	0.591	34.1
O		1.000	34.1
sì	టి	1.000	33.6
$?	ు?	0.559	32.79
A¯	అన	0.996	32.67
çÜ	సు	0.926	32.24
âæ		1.000	32.11
™èþ$	తు	1.000	32.11
C…	ఇం	1.000	32.03
š	పు	0.741	31.66
AM	అక	0.659	31.19
ìþ		0.482	30.89
üP	క్క	0.977	30.73
þÐ		1.000	30.41
