legacy	rom
A	di
Væü	ḍiyā
DÄæý$¯èþ	nārā
B	me
C	di
D	me
çßý	ri
GÐèþ	ru
Ðèþ$Ë	yā
¯èþÐèþ$	skā
fÄæý$	gāru
E¯é²Ææÿ$	unnāru
E…¨	uṁdi
ÌôýÐèþ#	lēvu
Ìôý§æþ$	lēdu
ÌôýÆæÿ$	lēru
Ðéyæþ$	vāḍu
Ðéyìþ	vāḍi
Òyæþ$	vīḍu
Òyìþ	vīḍi
A¨	adi
C¨	idi
§é°	dāni
©°	dīni
AÐèþ*ÃÆÿ$$	ammāyi
A»ê¾Æÿ$$	abbāyi
C	i
Ë$	lu
Æÿ$$	yi
Mæü*yé	kūḍā
G…§æþ$Mæü$	eṁduku
Aç³šyæþ$	appuḍu
Cç³šyæþ$	ippuḍu
Gç³šyæþ$	eppuḍu
AMæüPyæþ	akkaḍa
CMæüPyæþ	ikkaḍa
GMæüPyæþ	ekkaḍa
AÐèþ#¯èþ$	avunu
M>§æþ$	kādu
A§æþ$Vø	adugō
C§æþ$Vø	idugō
H¨	ēdi
AÑVø	avigō
CÑVø	ivigō
HÑ	ēvi
A…yîþ	aṁḍī
Bþ	ā
A…yìþ	aṁḍi
A	a
CÌê	ilā
AÌê	alā
Æ>	rā
CÐèþ#Ó	ivvu
^èþ*yæþ$	cūḍu
CÐóþÓâæý	ivvēḷa
CÐéÓâæý	ivvāḷa
AMæü$	aku
AMæü…yìþ	akaṁḍi
^ðþç³š	ceppu
^ðþç³µ…yìþ	ceppaṁḍi
Æ>…yìþ	rāṁḍi
Ææÿ…yìþ	raṁḍi c.f. 7.15
Mæü*Æøa	kūrcō
Ððþâæý$å	veḷḷu
¡çÜ$Mø	tīsukō
E	u
ç³§æþ	pada
B	ā
H	ē
K	ō
Òsìý	vīṭi
AÑ	avi
CÑ	ivi
MæüÑ	kavi
Ìôý¯èþ$	lēnu
Æðÿ…yæþ$	reṁḍu
Æðÿ…yæþ*	reṁḍū
C§æþªÆæÿ$	iddaru
Ðèþ$*yæþ$	mūḍu
Ðèþ$*yæþ*	mūḍū
Ðèþ$$Væü$YÆæÿ$	mugguru
CË$Ï	illu
C…sìý	iṁṭi
§æþVæüYÆæÿ	daggara
MæüP¯èþ	pakkana
Câæý$å	iḷḷu
âæý$å	ḷḷu
GÌê	elā
AÐèþ*Ã	ammā
G	e
A§óþ	adē
C§æþ$Vø¯èþ…yîþ	idugōnaṁḍī
A…yîþþ	aṁḍī
»êVæü$	bāgu
^ðþÌñýÏË$	cellelu
Ý÷…™èþþ	soṁta
™èþÐèþ$$Ãyæþ$	tammuḍu
AMæüPÄæý$Å	akkayya
A¯èþ²Äæý$Å	annayya
¨	di
Ñ	vi
¯é¨	nādi
¯éÑ	nāvi
BÄæý$¯èþÑ	āyanavi
HÇ	ēri
CÆæÿ$Vøþ	irugō
AÆæÿ$Vøþ	arugō
Hyìþ	ēḍi
Cyæþ$Vøþ	iḍugō
Ayæþ$Vøþ	aḍugō
C§æþ$Vøþ	idugō
A§æþ$Vøþ	adugō
CÑVøþ	ivigō
AÑVøþ	avigō
ç³NË$þ	pūlu
ç³#Ðèþ#Ó	puvvu
Ææÿ*´ëÆÿ$$þ	rūpāyi
