guid	lesson	seq	speaker	en	rom	legacy	keys	flags
Ibfaee19c2e60	6	1	çÜ$»ê¾Æ>Ðèþ#	Do you have kanyasulkam with you? Yes I have. It is there on the table, Look.	subbārāvu: nī daggara kanyāśulkaṁ uṁdā? gōpi : uṁdi. ā balla mīda uṁdi, cūḍu.	çÜ$»ê¾Æ>Ðèþ# : ± §æþVæüYÆæÿ Mæü¯éÅÔèý$ËP… E…§é? Vøí³ : E…¨. B ºËÏÒ$§æþ E…¨, ^èþ*yæþ$.	0:532.3;1:180.2	
I43a26506575c	6	2	çÜ$»ê¾	This is not Kanyasulkam, Gopi! See in that cup-board. Next to the time-piece.	subbā : idi kanyāśulkaṁ kādu, gōpī! gōpi : ā alamaralō cūḍū; gaḍiyāraṁ pakkana	çÜ$»ê¾ : C¨ Mæü¯éÅÔèý$ËP… M>§æþ$, Vøï³! Vøí³ : B AËÐèþ$ÆæÿÌZ ^èþ*yæþ$; VæüyìþÄæý*Ææÿ… ç³MæüP¯èþ.	1:241.0;1:301.9;1:317.2	
I047b1b3ed06e	6	3	çÜ$»ê¾	This is Kanyasulkam Take it.	subbā : idi kanyāśulkamē. gōpi : tīsuko.	çÜ$»ê¾ : C¨ Mæü¯éÅÔèý$ËPÐóþ$. Vøçí³ : ¡çÜ$Mø.	1:393.3;1:454.1	
I940579421346	6	4	çÜ$»ê¾	Whose book is this? My friend's book.	subbā : idi evari pustakaṁ? gōpi : nā snēhituḍi pustakaṁ.	çÜ$»ê¾ : C¨ GÐèþÇ ç³#çÜ¢Mæü…? Vøí³ : ¯é õÜ²íßý™èþ$yìþ ç³#çÜ¢Mæü….	1:515.0;1:575.9	
Ic93dcd12de8a	6	5	çÜ$»ê¾	Whose book? Is it Prasad's book? Not Prasad's book. It is Ravi's book.	subbā : evari pustakaṁ? prasād pustakamā? gōpi : prasād pustakaṁ kādu. ravi pustakaṁ.	çÜ$»ê¾ : GÐèþÇ ç³#çÜ¢Mæü…? {ç³Ýë§Šþ ç³#çÜ¢MæüÐèþ*? Vøí³ : {ç³Ýë§Šþ ç³#çÜ¢Mæü… M>§æþ$. ÆæÿÑ ç³#çÜ¢Mæü….	2:179.2;2:250.2	
Ic386744b030a	6	6	çÜ$»ê¾	I see! who is this gentleman? My father.	subbā : alāgā! vīru evaru? gōpi : mā nānnagāru.	çÜ$»ê¾ : AÌêV>! ÒÆæÿ$ GÐèþÆæÿ$? Vøí³ : Ðèþ* ¯é¯èþ²V>Ææÿ$.	2:321.2;2:378.0	
I7c86d50a0374	6	7	çÜ$»ê¾	Namaskaram, sir!	subbā : namaskāramaṁḍī!	çÜ$»ê¾ : ¯èþÐèþ$ÝëPÆæÿÐèþ$…yîþ!	2:434.9	
Ic53d430e3499	6	8	Æ>Ðèþ$Äæý$Å	What is your name, dear!	rāmayya : nī pērēmiṭi bābū!	Æ>Ðèþ$Äæý$Å : ± õ³ÆóÿÑ$sìý »êº*!	2:491.7	
I8fc38af2255d	6	9	çÜ$»ê¾	My name is Subbarao, Sir! My father's name is Mr. Viswanatham	subbā : nā pēru subbārāvaṁḍī! mā nānnagāri pēru viśvanāthaṁgāru.	çÜ$»ê¾ : ¯éõ³Ææÿ$ çÜ$»ê¾Æ>Ðèþ…yîþ! Ðèþ* ¯é¯èþ²V>Ç õ³Ææÿ$ ÑÔèýÓ¯é£æþ…V>Ææÿ$.	2:548.5;2:562.7	
I609e7857adaa	6	10	Æ>Ðèþ$Äæý$Å	I see! How many brothers are you?	rāmayya : alāgā! mīru eṁtamaṁdi annadammulu?	Æ>Ðèþ$Äæý$Å : AÌêV>! Ò$Ææÿ$ G…™èþÐèþ$…¨ A¯èþ²§æþÐèþ$$ÃË$?	3:179.2;3:193.4	
