page	y	legacy	rom	te
0	438.3	MæüÐèþ$Ë : X™é!  Ò$ AÐèþ$Ã¯èþ$ í³Ë$.		కమల : గీతా మీ అమ్మను పిలు.
0	469.7	X™èþ : BÐðþ$ ç³°ÌZ E¯èþ²¨ A™èþ¢Äæý$Å		గీత: ఆమె పనిలో ఉన్నది అత్తయ్య
0	485.4	V>Ææÿ*!  í³ÍõÜ¢ ç³ËMæü§æþ$.		గారూ! పిలిస్తే పలకదు.
0	516.5	MæüÐèþ$Ë : ò³§æþªV> í³Ë$.  ç³Ë$Mæü$™èþ$…¨.		కమల : పెద్దగా పిలు. పలుకుతుంది.
0	547.9	X™èþ : Ò$Æóÿ í³ËÐèþ…yìþ.  A§æþ$Vø Ðèþ* AÐóþ$Ã		గీత. : మీరే పిలవండి. అదుగో మా అమ్మే
0	563.6	Ðèþ_a…¨.		వచ్చింది.
0	595.0	çÜÆøf : ÌZç³ÍMìü Æ> MæüÐèþ$Ìê!		సరోజ : లోపలికి రా కమలా!
0	626.1	X™èþ : AÐèþ*Ã!  ¯èþ¯èþ$² çÜÆæÿâæý í³Ë_…¨.		గీత. : అమ్మా నన్ను సరళ పిలచింది.
0	641.8	Ððþâæý$¢¯é²¯èþ$.		వెళ్తున్నాను.
1	160.6	MæüÐèþ$Ë : G…§æþ$Mæü$ Ò$ »êº$ Ððþ$$çßý… AsêÏ		కమల : ఎందుకు మీ బాబు మొహం అట్లా
1	177.1	E¯èþ²¨?		ఉన్నది?
1	210.3	çÜÆøf : Cç³µsìý §éM> Hyéayæþ$.  G…§æþ$Mø		సరోజ : ఇప్పటి దాకా ఏడ్చాడు. ఎందుకో
1	226.9	°¯èþ²sìý²…_ FÇMìü¯óþ Hyæþ$çÜ$¢¯é²yæþ$.		నిన్నబ్నించి ఊరికినే ఏడుస్తున్నాడు.
1	260.0	MæüÐèþ$Ë : ¯èþyæþ$çÜ$¢¯é²yé?		కమల :. నడుస్తున్నాడా?
1	293.2	çÜÆøf : C…M> ¯èþyæþÐèþr… Ìôý§æþ$.  Ðèþ* X™èþ		సరోజ : ఇంకా నడవటం లేదు. మా గీత
1	309.7	G°Ñ$§ø ¯ðþËÌZ¯óþ ¯èþyìþ_…¨.  ËMîü‡!		ఎనిమిదో నెలలోనే నడిచింది. లక్ష్మీ
1	326.3	Ðèþ$¯èþ$çÙ$Ë Ò$§æþ §æþ$Ðèþ$$Ã ç³yæþ$™èþ$¯èþ²¨.		మనుషుల మీద దుమ్ము పడుతున్నది.
1	342.9	¯ðþÐèþ$Ã¨V> Fyæþ$.		నెమ్మదిగా ఊడు.
1	376.0	ËMìü‡ : ¯ðþÐèþ$Ã¨V>¯óþ Fyæþ$çÜ$¢¯é²¯èþ…yîþ!  V>Í		లక్ష్మి: నెమ్మదిగానే ఊడుస్తున్నానండీ! గాలి
1	392.6	GMæü$PÐèþV> E¯èþ²¨.		ఎక్కువగా ఉన్నది.
1	425.8	çÜÆøf : AÆÿ$$™óþ CMæüPyæþ FyæþÐèþMæü$.  ÐèþÆæÿ…yé		సరోజ :_ అయితే ఇక్కడ ఊడవకు. వరండా
1	442.3	Fyæþ$.		'ఊడు.
1	475.5	ËMìü‡ : Fyéa¯èþÐèþ$ÃV>Ææÿ*!  Ðèþ…r CË$Ï		లక్ష్మి: ఊడ్చానమ్మగారూ! వంట ఇల్లు
1	492.1	FyæþÐéÍ.		'ఊడవాలి.
1	525.2	çÜÆøf : çÜÆóÿ! MæüÐèþ$Ìê!  Ìôý!  Ðèþ$¯èþ… B		సరోజ : సరే! కమలా! లే] మనం ఆ
