guid	te_sha1
M98a83054b2b4	aa86afd47ab7a3a5
Mbbdd5bcb2e81	cea5a80b03e79528
M8103f5ea619c	d518f4744a82ab2e
Mf59192fd5d1f	31836cb0a1d5573d
M627972907910	194a4fd93f731ac2
Mf4bbe4bbc215	164c83b0dab8e17c
M0fbf39d9b85f	de5b42fb6c756956
M08a42eca7f0d	ebc8a9322215a589
M4987b661c11b	a2e71892d6176645
M423b6d65259a	d3576396fc9bce65
M61d853bc7ae6	41671adff05376a4
Me35d761ad098	f7825633a88d1fb4
M9cd5b204912c	2ec99f83ca268dd7
M2ba76920909e	db45c99e884344eb
M8e4a8bb082b5	fd33782a227b085f
Meb9fdf63f693	75ed5eb824202df0
M167a4c61499e	d1c2d63616447248
M4b7a96aa72d0	33a2d021200b5d99
M48e79168cf31	8e637a3cdc59a2e6
M414cbb68dfa5	a2e71892d6176645
Mee411d64c4b4	2570ed314a6b9135
M30e25e747236	3a33a0c35e314e3e
M0f902e9fb9fd	9b3068d213247d33
M2a36e960c6d4	6bb866378872ec83
Mbf4ab7051a77	2c208b686ba88c97
Mbd3ee2218620	c6009acbb2ede3a3
Mfdc43ee204db	529c87f8ad7b1959
M562b409bf372	c4e14d4eff3beb4d
Mdc4c92341135	963531d7576cc747
Mdf1b1ac0ca92	6abe8074133ad774
M8425ad26f6d3	884690e7f75b7e5a
M96b243709e02	5d68ef7150037fc1
M0632720d2580	c0e3389bcff6f110
Mdd47c8e25a5b	37b0fd39f604f217
M408d4f952b07	e1959e68b40dbfa7
Mdb4fa346e775	c4af17c15b9563c8
M41bbc0d622a3	1c6b7592d29a23f1
M96abcc01f33b	4bbf0441e7be9b46
Mf8ae7903f203	379ed28a3f0d0748
Mb133f1336423	fe1d7fb0ad315b1b
Mb2ebe86424e8	da60651497e966a2
Md273a9ba31e6	918780a956351087
M6b17c310bdff	09dff1a9f9fb1223
M8ccb628a9e14	a4ff7d237dc3ea16
Mbbad9d2ce752	913e1dda3e1c82c4
M7b3af6a49af0	4f2b11c9c9f9c2e8
M70702e6197ba	117cbf5eedfd7277
Maa888281458f	dd7e4e61e70023d3
Mf084dcfb8769	20eadac1bad881f8
M320089b3af04	6519ac30a2c0b40f
Mbbbb7d4eb1d8	6303ea6531e6364f
Mf67855827c10	d05dd1734b3e99db
M571f3bd4aec8	67974b7f91d75676
M83772bc567b4	b90a2a3aeac3865b
M7a1fd0c7247a	6986d8517f255bc4
M8fa446324119	79afd84913d31b31
M3a4fc6ec99e8	aba1f3b57fb49d05
Md45a97459e69	b36a712c30e09f4d
M062440fabbb7	c70dda40f4af6cf1
Mbbbfefa3cdb8	dac0bd001f0dd7a7
M167e8bb867c4	edfbd5b4d7aa4e7e
M4a72b5a605dd	fbe69c7b6db75f8b
M7883a0ee1745	ba704a22fbce6033
Mf4c52f6b71fb	36793f68c972f691
M0dffd39211f5	6986d8517f255bc4
M8b46a3c35fbb	79afd84913d31b31
M966db9c88cab	cddb9956607c2bde
M2a1ea9d37bca	b385361e3309c629
Me638855b2ccf	5462cd1fd284df6d
M593a2efb7f86	d2667534ea5b9557
M1c2be9177ba2	b00d97a4f5247cc0
M8ae172068b27	9f99a8ed5a316d3e
Mafcb398ca6a3	d84d50882161d7ce
M826648ae44a2	fbadc401c41df442
M32ec5345f6db	f5d44184f3c3aaa9
Mda60d45bba13	2fd3c244b049c0c2
Mc451ce690e3e	1f5acffd9afad32b
Md70f0a331f3c	d05dd1734b3e99db
Mc95bb54fa503	c808f724e2e85e4d
M17456384490a	fc15c346a7d5ac13
Mb78b5019352c	bf66a6eefb73cf78
M1293c455d81a	d7083d3e2fba8591
Mf4bfbdcff6b3	9d64371dbb60f9d5
M0a200094bf9f	5ea4896a414ea628
M6efd4f432e33	66d344f1d1f7de51
M6c6fae2e0c55	a65f889352270a41
Mcd289716fe11	4b136103f5eb688f
Mb6c961c08d49	c498a1d8ce669b5f
M7f1e8f8f1792	4ab14ac25a9274cd
M66a89fed6c77	b0e2efd9c30a271c
Mef6cf0b7abbb	601078d4a950c246
M0908d6845eea	dfb294d105559d70
Me345949a099e	40afeb91a03d4b44
Me3678dd86cc1	cf562d4df7d6889f
M9368104310c4	3f6c37a219146c0f
M46f332d7701f	de59dd24cfbd80e6
Mcc6aaae188a9	2d01ee8593d8f1af
M5efe61fbec49	e73b438cda2b7f84
M078b1e383017	5cf3e5749d87d00b
Md4ed22ac8504	01bef93914ee5c9e
M713259958e19	0fb2e35a34a8ffc6
M07ea382e5598	de7e8762022f869f
M5b64a1c2fa80	596b5a8f204aeb06
Md48077c0312d	8b92ec5f0cbe1474
Me807a4c85472	12779915aeb70683
M6951f255c768	1891edfd6993e2f1
Mc897922bc2ff	9a4dc6fcc620e0a8
M8db5cc76b64f	4126b7ef0d1c5521
Mb7401a2fc5dd	6b2ef004d72211d9
M0e16df645baf	66007ccfa1cee5d3
Mbdf8cce8eb64	5890e63d44a55672
M63c45edd2d86	306eba98f78e8cbc
Ma2575b27117f	7cbd514fa565c920
Mc44ea721d1e0	2fe1d6ba7c5c5cd2
M42d7f47b568b	e729ba7046c8f160
Mcc07cf468ad2	99ffc01202485e40
Maa1860f48e23	0f3092950b8668d4
Mac052d8b611f	6eb92edc343f1a41
Mb044ba00a8e4	e9766311a00ff3dd
M25bb1a29b316	5a11dff63624fa40
M0b9dcb426a7a	1512856ff0bedcb8
M652ab12b31a9	a9db82885b328bc3
M29ceae1528af	fac616fdf3a163b8
Mce8659ff976b	5b966edf4576aed0
M947da0e86fb8	3695af53b6341e26
M24793f8237ff	264640440de32719
M87434ff51efb	3e189724b4c937f8
Me73299e1566b	e51c319aec06f495
Mb800ceea6986	60b75bd201f56200
M0716d6b78157	edfd317ff9f19c66
Mf1001124a770	6aca5cac3ea2cd7d
M108393791c68	d0fd1386bf46308e
M16036378df64	0ba066d763418641
M97a5dafb9b60	8f123616b2f5b149
M70c71b8f1bc9	5b705b339dee1845
M22b50a16e585	fe2cabb9090751f9
Mac12e1ef7451	e823e33f70995960
M425dfc28cbb5	e39f9393c2947ba6
M36aac71299e8	64c7a3c25a9ea7b3
M0f8f2db95b4c	32a601e306aa7f51
M962625c7a538	3793394ec8fcf01a
Mf6a78b87d9ec	665876aeea17ae8f
M6d461fc21aeb	71f9b45f849ffb25
Maf14de3ce522	7486e67994b713e9
Me9dfa9af5f02	1784c6e9885334dc
M41dc51e5bffe	0b551d02f186ccbb
Mce4b56c68cc6	9fea3b887b930747
M80f643e0f3e3	773da431cbb15b36
Mfc0fc617abdd	9077de2819663f11
M539a50ee5949	f8613b7d7d77f5b9
M77383f958096	36a2d1c46ac6985f
M8e2da61aa171	a375ae8da27b4afc
M3bd5efcd318b	649e9695835dd332
M1ce57cf5fb8d	e32501d1551c83f2
M0f7b18e561d1	2ee9bd6282892bf7
M35cb8c4ef3af	5d1f92c71513e79c
M952313ce5074	2c8f8ec21d28f699
Me37bac4abc34	8e4a64545413962d
M325df838e405	a0eae86397203b89
M5fa338ee705e	9406c3a281197920
Me8f5d3c811a0	053103c06405e8d7
Me8120b031b8e	0a5e4cf5ea02c73e
M600055516098	7d86b1cbf41fa51d
M55c3d5f454d7	9590b9b00dcd5cb6
M4858a3dc0b78	2d857c24c9bad356
