name	kind	te	count	lessons	notes
James	person	జేమ్స్	41	07,30	from the native translation
Rosie	person		40	31	
Louie	person		35	23	
Sharon	person		34	40	
Phil	person		32	36	
Sara	person		31	09,32	
Saul	person		30	13	
Max	person		29	35	
Bill	person		28	27,57	
Tom	person		28	34	
Karen	person	కరేన్	27	03	from the native translation
Kelly	person		27	14	
Allen	person		26	41	
Carl	person		26	24	
Eric	person		26	33	
Andy	person		25	09	
Emma	person		25	22	
Kimi	person		25	13	
Clare	person	క్లేర్	22	05	
Gene	person		22	16	
Janet	person		22	12	
Martin	person		22	44	
Mike	person	మైక్	22	01a,01c	
Dustin	person	డస్టిన్	21	02	
French	lang	ఫ్రెంచ్	21	02,19	
Ashley	person		20	18	
Jen	person		20	38	
Marco	person		20	17	
Ben	person		19	43	
Jerry	person		19	21	
Jon	person	జోన్	19	05	from the native translation
Kyle	person		18	19	
Jack	person		17	10	
Alex	person		16	26	
Brad	person		16	11	
Emily	person		16	15	
George	person		16	13,55,59	
Lisa	person	లీసా	16	08	from the native translation
Adam	person		15	37	
Adrian	person		15	39	
Alissa	person		15	20	
Kendra	person		15	53	
Meg	person		15	10	
Sasha	person		15	38	
Dave	person		12	25	
Layne	person		12	29	
Thai	lang		12	34	
Canada	place		11	27	
Erika	person		11	42	
Fred	person	ఫ్రెడ్	11	06	from the native translation
Mom	kin		11	19,26,35	
France	place	ఫ్రాన్స్	10	02	
Jane	person	జేన్	10	06	from the native translation
Mara	person		10	15	
Sociology	subject		10	50	
Amy	person	యేమి	9	04	"the translator writes యేమి throughout; QUERY — a learner reads that as ఏమి ""what"""
Kevin	person		9	51	
Mariah	person		9	54	
Stella	person		9	28	
Uber	brand		9	54	
West	place		9	45	
Lin	person		8	46	
Friday	day		7	37	
Italian	lang		7	34	
Jessica	person		7	47	
Anne	person		6	60	
Margaret	person		6	56	
Marty	person		6	50	
Mary	person		5	59	
Monday	day		5	37,60	
Mondays	day		5	43	
Saturdays	day		5	30	
Tony	person		5	45	
Ethan	person		4	25	
Humanities	subject		4	50	
North	place		4	45	
Paul	person		4	54	
Sally	person		4	55	
States	place		4	27	
United	place		4	27	
Betty	person		3	58	
English	lang	ఇంగ్లీష్	3	04	
Sam	person		3	58	
Angeles	place		2	46	
Kindle	brand		2	59	
Los	place		2	46	
Julie	person	జూలీ	1	04	
