guid	te	status
Me35d761ad098	ఇదే కథ మరో విధంగా చెప్పబడింది.	native
Mbbdd5bcb2e81	మైక్ ప్రతీ ఉదయం 6 గంటలకు నిద్ర లేస్తాడు.	native
M8103f5ea619c	అతను బ్రేకఫాస్ట్ చేసి, ఒక కప్పు కాఫీ తాగుతాడు.	native
Mf59192fd5d1f	అతని కారులో పనికి వెళతాడు	native
M627972907910	ఏడున్నర గంటలకు అతని పని మొదలవుతుంది	native
Mf4bbe4bbc215	మైక్ ఒక రెస్టారెంట్లో వంటవాడు	native
M0fbf39d9b85f	ఆకలితో ఉన్న కస్టమర్లకు అతను ఆహారాన్ని వండి పెడతాడు	native
M08a42eca7f0d	అనేక దేశాల నుండి కస్టమర్లు వస్తారు	native
M4987b661c11b	వాళ్ళు వివిధ భాషలు మాట్లాడుతారు	native
M414cbb68dfa5	వాళ్ళు వివిధ భాషలు మాట్లాడుతారు	native
M423b6d65259a	మైక్ చాలా మంది సరదాగా ఉన్న ప్రజలను కలుస్తూ ఉంటాడు	native
M61d853bc7ae6	అతని కస్టమర్లతో మాట్లాడేటప్పుడు మైక్ చాలా సంతోషపడుతాడు	native
M9cd5b204912c	నేను ప్రతీ ఉదయం ఆరు గంటలకు నిద్ర లేస్తాను	native
M2ba76920909e	నేను నా బ్రేకఫాస్ట్ చేసి, ఒక కప్పు కాఫీ తాగుతాను	native
M8e4a8bb082b5	నేను కారులో పనికి వెళతాను	native
Meb9fdf63f693	నా పని ఏడున్నర గంటలకు మొదలవుతుంది	native
M167a4c61499e	నేను రెస్టారెంట్లో ఒక వంటవాడిని.	native
M4b7a96aa72d0	ఆకలితో ఉన్న కస్టమర్లకు నేను ఆహారాన్ని వండి పెడతాను	native
M48e79168cf31	అనేక దేశాల నుండి కస్టమర్లు వస్తారు	native
Mee411d64c4b4	చాలా మంది సరదాగా ఉన్న ప్రజలను కలుస్తూ ఉంటాను	native
M30e25e747236	ఒకటి: మైక్ ప్రతీ ఉదయం ఆరు గంటలకు నిద్ర లేస్తాడు	native
M0f902e9fb9fd	మైక్ త్వరగా నిద్ర లేస్తాడా?	native
M2a36e960c6d4	అవును, మైక్ ప్రతీ ఉదయం ఆరు గంటలకు నిద్ర లేస్తాడు	native
Mbf4ab7051a77	రెండు: మైక్ ఒక కప్పు కాఫీ తాగుతాడు.	native
Mbd3ee2218620	మైక్ టీ తాగుతాడా?	native
Mfdc43ee204db	లేదు, మైక్ టీ తాగడు, అతను కాఫీ మాత్రమే తాగుతాడు	native
M562b409bf372	మూడు: మైక్ తన పనికి కారులో వెళతాడు	native
Mdc4c92341135	మైక్ కారులో పనికి వెళతాడా?	native
Mdf1b1ac0ca92	అవును, మైక్ కారులో పనికి వెళతాడు	native
M8425ad26f6d3	నాలుగు: పొద్దున ఏడున్నర గంటలకు మైక్ పని మొదలవుతుంది	native
M96b243709e02	పొద్దున ఏడు గంటలకు మైక్ పని మొదలవుతుందా?	native
M0632720d2580	కాదు, పొద్దున ఏడున్నర గంటలకు మైక్ పని మొదలవుతుంది	native
Mdd47c8e25a5b	అది ఏడున్నర గంటలకు మొదలవుతుంది	native
M408d4f952b07	ఐదు: రెస్టారెంట్ లో మైక్ ఒక వంటవాడు	native
Mdb4fa346e775	మైక్ వంట వాడా?	native
M41bbc0d622a3	అవును, రెస్టారెంట్ లో మైక్ ఒక వంటవాడు	native
M96abcc01f33b	ఆరు: చాలా దేశాల నుండి కస్టమర్లు వస్తారు	native
Mf8ae7903f203	ఒక దేశం నుండే కస్టమర్లు వస్తారా?	native
Mb133f1336423	కాదు, అనేక దేశాల నుండి కస్టమర్లు వస్తారు	native
Mb2ebe86424e8	వాళ్ళు అనేక దేశాల నుండి వస్తారు	native
Md273a9ba31e6	ఏడు: కస్టమర్లు సరదాగా ఉంటారు	native
M6b17c310bdff	కస్టమర్లు సరదాగా ఉంటారా?	native
M8ccb628a9e14	అవును, కస్టమర్లు సరదాగా ఉంటారు	native
Mbbad9d2ce752	ఎనిమిది: మైక్ తన కస్టమర్లతో మాట్లాడేటప్పుడు చాలా సంతోషపడుతాడు	native
M7b3af6a49af0	మైక్ తన కస్టమర్లతో మాట్లాడేటప్పుడు మైక్ చాలా సంతోషపడుతాడా?	native
M70702e6197ba	అవును, మైక్ తన కస్టమర్లతో మాట్లాడేటప్పుడు చాలా సంతోషపడుతాడు	native
Mf084dcfb8769	శీతాకాల సెలవుతో డస్టిన్ ఉత్సాహంగా ఉన్నాడు	native
M320089b3af04	ఈ శీతాకాలంలో అతనికి కొంత విశ్రాంతి దొరికింది	native
Mbbbb7d4eb1d8	అతను రెండు వారాల పాటు పనికి వెళ్లాల్సిన అవసరం లేదు	native
Mf67855827c10	అతను సెలవులకు ఎక్కడికైనా వెళ్లాలని అనుకుంటున్నాడు.	native
Md70f0a331f3c	అతను సెలవులకు ఎక్కడికైనా వెళ్లాలని అనుకుంటున్నాడు.	native
M571f3bd4aec8	కానీ అతను ఎక్కడి వెళ్లాలో సరిగ్గా తెలియదు	native
M83772bc567b4	అతను ఫ్రాన్స్ కి వెళ్లాలని ఆలోచిస్తున్నాడు	native
M7a1fd0c7247a	కానీ ఫ్రాన్స్ కి వెళ్ళడం చాలా ఖర్చుతో కూడుకున్నది	native
M0dffd39211f5	కానీ ఫ్రాన్స్ కి వెళ్ళడం చాలా ఖర్చుతో కూడుకున్నది	native
M8fa446324119	విమాన టికెట్ల ధర ఎక్కువ	native
M8b46a3c35fbb	విమాన టికెట్ల ధర ఎక్కువ	native
M3a4fc6ec99e8	అంతేకాక డస్టిన్ కు ఫ్రెంచ్ మాట్లాడడం రాదు	native
Md45a97459e69	అతను ఇంటి పట్టునే ఉంటూ, చదువుకుంటూ, డబ్బు ఆదా చేయాలని నిర్ణయించుకున్నాడు	native
M062440fabbb7	శీతాకాల సెలవుతో నేను ఉత్సాహంగా ఉన్నాను	native
