guid	num	part	seq	en	te	notes	status
Mc3ce9ddc9cd3	43	meta	1	Story Forty-three - Ben Is Looking at His Schedule			todo
Me35d761ad098	43	meta	2	Here is the same story told in a different way.	ఇదే కథ మరో విధంగా చెప్పబడింది.		native
M368c9f586f89	43	story	1	Ben is looking at his schedule for school.			todo
M84b5729e7a8c	43	story	2	He has a very busy schedule.			todo
M8aecde4ffbbf	43	story	3	All of his classes are ninety minutes long.			todo
M119160c74749	43	story	4	And all of his weekdays are full.			todo
M65db452163ff	43	story	5	He doesn't have much free time in the evenings, and he doesn't have any free time on Mondays.			todo
M70c5af8bde40	43	story	6	He doesn't have any classes on weekends, though, so he should have a little time to see his friends then.			todo
M8cfec39e95c1	43	story	7	Although he still has a little time for himself, most of his time is going to be for studying.			todo
M621597f0028f	43	retell	1	I was looking at my schedule for school.			todo
M0c9778215343	43	retell	2	I had a very busy schedule.			todo
M632cdd73d995	43	retell	3	All of my classes were ninety minutes long.			todo
M6782bebbdb6a	43	retell	4	And all of my weekdays were full.			todo
M4dd711298e13	43	retell	5	I didn't have much free time in the evenings, and I didn't have any free time on Mondays.			todo
Mf2994cd0eeee	43	retell	6	I didn't have any classes on weekends, though, so I could have a little time to see my friends then.			todo
Mf2f6771f6be7	43	questions	1	One: Ben is looking at his school schedule.			todo
Mfd56aedc3095	43	questions	2	What is Ben looking at?			todo
M66bfb78d681a	43	questions	3	Ben is looking at his school schedule.			todo
Mcb82ec43f90f	43	questions	4	Two: All of his classes are ninety minutes long.			todo
Mefcdf49cdd2d	43	questions	5	How long are all of his classes?			todo
Mee12b25a3605	43	questions	6	All of his classes are ninety minutes long.			todo
M7e19fd29213b	43	questions	7	Three: Ben doesn't have much free time in the evenings.			todo
M53c2af7dd4d4	43	questions	8	How much free time does Ben have in the evenings?			todo
M0bf316f40c67	43	questions	9	Ben doesn't have much free time in the evenings.			todo
Mbd1cca6e33e5	43	questions	10	Four: Ben doesn't have any classes on weekends.			todo
Ma017c1316b1e	43	questions	11	Does Ben have any classes on weekends?			todo
M1709f08d67d4	43	questions	12	No, Ben doesn't have any classes on weekends.			todo
M121d8c569396	43	questions	13	Five: His schedule was very busy.			todo
M983be42cafa5	43	questions	14	How busy was his schedule?			todo
M4fe5e09e0eed	43	questions	15	His schedule was very busy.			todo
M632fd56819b4	43	questions	16	Six: All of Ben's weekdays were full.			todo
Me58564578577	43	questions	17	How many of Ben's weekdays were full?			todo
Mbda5d78c1f5e	43	questions	18	All of Ben's weekdays were full.			todo
Mbef151de618d	43	questions	19	Seven: Ben didn't have any free time on Mondays.			todo
Mfa71c3e491b4	43	questions	20	How much free time did Ben have on Mondays?			todo
M3820fea4650c	43	questions	21	Ben didn't have any free time on Mondays.			todo
M3a211becfef5	43	questions	22	Eight: Ben did have a little time to see his friends.			todo
M493fe09f5283	43	questions	23	Did Ben have any time to see his friends?			todo
Ma653a5e3e715	43	questions	24	Yes, Ben did have a little time to see his friends.			todo
