kind	num	page	english	book_rom	book_script	derived_rom	correct_script
sentence	49	25	Ram goes	Ram	రామ్ వెళతారు	rām veḷatāru	
sentence	208	37	Okay Doctor	Sare doctor	సరే డాక్టర్	sarē ḍākṭar	
sentence	636	69	Why do you run ?	Miru enduku ?	మీరుఎందుకుపరిగెత్తుతారు?	mīruendukuparigettutāru?	
sentence	675	72	She talks a lot	Avida chala	ఆవిడచాలమాట్లాడుతుంది	āviḍachālamāṭlāḍutundi	
sentence	775	80	I don't like her	Nenu avidani istapadanu -- End - Other Books All of other language books This book is designed for those who are interested in learning Spoken 2000 Hindi . This book has 2000 Hindi words & sentences (1000 words & 1000 Words Sentences Hindi ( 1000Sentencesl &	నేనుఆవిడని ఇష్టపడను	nēnuāviḍani iṣṭapaḍanu	
word	9	5	It	Idi -Adi	ఇది	idi	
word	10	5	To me	Naaku	నాకు/ నను	nāku/ nanu	
word	48	8	Cauliflower	Cauliflower	కాలీఫ్లవర్	kālīphlavar	
word	69	10	Pink	Gulabi	పింక్	pink	
word	90	11	Journey	Prayaanam	పుట్టినరోజు పుట్టినరోజుశుభాకాంక్షలు ప్రయాణం	puṭṭinarōju puṭṭinarōjuśubhākānkṣalu prayāṇaṁ	
word	102	12	Paper	Kaagitham	పేపర్	pēpar	
word	105	12	Always	Ellappudu	ఎప్పటి లాగా	eppaṭi lāgā	
word	110	13	Drink	Taagu	డాగ్	ḍāg	
word	123	14	Grapes	Draksha	త్రదాక్ష	tradākṣa	
word	126	14	Lychee	Litchi	ల్లచి	llachi	
word	157	16	Ahead	Mundhuga	ప్రధమ	pradhama	
