token_as_heard	count	telugu_script	english	keep
ante	19			
itla	15			
untadhi	14			
nunchi	10			
choosina	10			
malla	8			
untayi	8			
paisalu	8			
monna	7			
cheppina	7			
pothe	7			
abba	7			
neeku	6			
edho	6			
poyina	6			
daaka	6			
atla	6			
paapam	6			
untaru	5			
aah	5			
poyi	5			
aamey	5			
leni	4			
don't	4			
intha	4			
okallu	4			
emaindhi	4			
untadu	4			
cheelpi	4			
nene	3			
unna	3			
voddu	3			
edhaina	3			
already	3			
correct	3			
osthadhi	3			
psychological	3			
indian	3			
ika	3			
australia	3			
pettindu	3			
age	3			
alone	3			
gaanam	3			
pettukoni	3			
bag	3			
levu	3			
temple	3			
gajji	3			
driving	3			
uncle	3			
avthundhi	3			
kanapadadhu	3			
ichhindu	3			
adigi	2			
fail	2			
bettala	2			
hour	2			
sepu	2			
full	2			
lolly	2			
inko	2			
nakaithe	2			
ayyi	2			
cheppindi	2			
resigning	2			
roje	2			
aiythadhi	2			
poddhunna	2			
occhindi	2			
osthe	2			
members	2			
aithadhi	2			
backup	2			
plan	2			
general	2			
occhindhi	2			
aina	2			
aakali	2			
osthundhi	2			
ekkemanna	2			
neck	2			
edhanna	2			
okkadne	2			
clean	2			
problem	2			
calls	2			
chain	2			
surgery	2			
physiotherapy	2			
idhantha	2			
emaindi	2			
low	2			
govt	2			
experience	2			
untadhhi	2			
quit	2			
occhindu	2			
depressed	2			
alalaga	2			
baadha	2			
chepthunadu	2			
pakkaki	2			
chushna	2			
antundu	2			
kattina	2			
plastic	2			
aipoyindhi	2			
formula	2			
aameki	2			
disposable	2			
thechuko	2			
cut	2			
alage	2			
podugu	2			
noone	2			
cheyinchukoni	2			
care	2			
respect	2			
gaadu	2			
okadu	2			
unde	2			
eeni	2			
nuvve	2			
cheppindu	2			
cheppindhanta	2			
meeku	2			
oorike	2			
plus	2			
pressure	2			
ennenla	2			
diamond	2			
villa	2			
rammu	2			
thellaru	2			
intiki	2			
pettale	2			
namminchudu	2			
chair	2			
diamonds	2			
poyinaayi	2			
freight	2			
idea	2			
loss	2			
