verb_en	root	irregular	polarity	person	tense	form
Play	Āḍu		pos	i	past	āḍ-ānu
Play	Āḍu		pos	you	past	āḍ-āvu
Play	Āḍu		pos	he	past	āḍ-āḍu
Play	Āḍu		pos	she	past	āḍ-indi
Play	Āḍu		pos	we	past	āḍ-āmu
Play	Āḍu		pos	formal	past	āḍ-āru
Play	Āḍu		pos	it	past	āḍ-indi
Play	Āḍu		pos	they-n	past	āḍ-āyi
Play	Āḍu		pos	i	present	āḍ-tunnānu
Play	Āḍu		pos	you	present	āḍ-tunnāvu
Play	Āḍu		pos	he	present	āḍ-tunnāḍu
Play	Āḍu		pos	she	present	āḍ-tōndi
Play	Āḍu		pos	we	present	āḍ-tunnāmu
Play	Āḍu		pos	formal	present	āḍ-tunnāru
Play	Āḍu		pos	it	present	āḍ-tōndi
Play	Āḍu		pos	they-n	present	āḍ-tunnāyi
Play	Āḍu		pos	i	future	āḍ-tānu
Play	Āḍu		pos	you	future	āḍ-tāvu
Play	Āḍu		pos	he	future	āḍ-tāḍu
Play	Āḍu		pos	she	future	āḍ-tundi
Play	Āḍu		pos	we	future	āḍ-tāmu
Play	Āḍu		pos	formal	future	āḍ-tāru
Play	Āḍu		pos	it	future	āḍ-tundi
Play	Āḍu		pos	they-n	future	āḍ-tāyi
Play	Āḍu		neg	i	future	āḍ-anu
Play	Āḍu		neg	you	future	āḍ-avu
Play	Āḍu		neg	he	future	āḍ-aḍu
Play	Āḍu		neg	she	future	āḍ-adu
Play	Āḍu		neg	we	future	āḍ-amu
Play	Āḍu		neg	formal	future	āḍ-aru
Play	Āḍu		neg	it	future	āḍ-adu
Play	Āḍu		neg	they-n	future	āḍ-avu
Play	Āḍu		neg	i	past	āḍ-lēdu
Play	Āḍu		neg	you	past	āḍ-lēdu
Play	Āḍu		neg	he	past	āḍ-lēdu
Play	Āḍu		neg	she	past	āḍ-lēdu
Play	Āḍu		neg	we	past	āḍ-lēdu
Play	Āḍu		neg	formal	past	āḍ-lēdu
Play	Āḍu		neg	it	past	āḍ-lēdu
Play	Āḍu		neg	they-n	past	āḍ-lēdu
Play	Āḍu		neg	i	present	āḍ-ḍam-lēdu
Play	Āḍu		neg	you	present	āḍ-ḍam-lēdu
Play	Āḍu		neg	he	present	āḍ-ḍam-lēdu
Play	Āḍu		neg	she	present	āḍ-ḍam-lēdu
Play	Āḍu		neg	we	present	āḍ-ḍam-lēdu
Play	Āḍu		neg	formal	present	āḍ-ḍam-lēdu
Play	Āḍu		neg	it	present	āḍ-ḍam-lēdu
Play	Āḍu		neg	they-n	present	āḍ-ḍam-lēdu
Go	Veḷḷu		pos	i	past	veḷḷ-ānu
Go	Veḷḷu		pos	you	past	veḷḷ-āvu
Go	Veḷḷu		pos	he	past	veḷḷ-āḍu
Go	Veḷḷu		pos	she	past	veḷḷ-indi
Go	Veḷḷu		pos	we	past	veḷḷ-āmu
Go	Veḷḷu		pos	formal	past	veḷḷ-āru
Go	Veḷḷu		pos	it	past	veḷḷ-indi
Go	Veḷḷu		pos	they-n	past	veḷḷ-āyi
Go	Veḷḷu		pos	i	present	veḷḷ-tunnānu
Go	Veḷḷu		pos	you	present	veḷḷ-tunnāvu
Go	Veḷḷu		pos	he	present	veḷḷ-tunnāḍu
Go	Veḷḷu		pos	she	present	veḷḷ-tōndi
Go	Veḷḷu		pos	we	present	veḷḷ-tunnāmu
Go	Veḷḷu		pos	formal	present	veḷḷ-tunnāru
Go	Veḷḷu		pos	it	present	veḷḷ-tōndi
Go	Veḷḷu		pos	they-n	present	veḷḷ-tunnāyi
Go	Veḷḷu		pos	i	future	veḷḷ-tānu
Go	Veḷḷu		pos	you	future	veḷḷ-tāvu
Go	Veḷḷu		pos	he	future	veḷḷ-tāḍu
Go	Veḷḷu		pos	she	future	veḷḷ-tundi
Go	Veḷḷu		pos	we	future	veḷḷ-tāmu
Go	Veḷḷu		pos	formal	future	veḷḷ-tāru
Go	Veḷḷu		pos	it	future	veḷḷ-tundi
Go	Veḷḷu		pos	they-n	future	veḷḷ-tāyi
Go	Veḷḷu		neg	i	future	veḷḷ-anu
Go	Veḷḷu		neg	you	future	veḷḷ-avu
Go	Veḷḷu		neg	he	future	veḷḷ-aḍu
Go	Veḷḷu		neg	she	future	veḷḷ-adu
Go	Veḷḷu		neg	we	future	veḷḷ-amu
Go	Veḷḷu		neg	formal	future	veḷḷ-aru
Go	Veḷḷu		neg	it	future	veḷḷ-adu
Go	Veḷḷu		neg	they-n	future	veḷḷ-avu
Go	Veḷḷu		neg	i	past	veḷḷ-lēdu
Go	Veḷḷu		neg	you	past	veḷḷ-lēdu
Go	Veḷḷu		neg	he	past	veḷḷ-lēdu
Go	Veḷḷu		neg	she	past	veḷḷ-lēdu
Go	Veḷḷu		neg	we	past	veḷḷ-lēdu
Go	Veḷḷu		neg	formal	past	veḷḷ-lēdu
Go	Veḷḷu		neg	it	past	veḷḷ-lēdu
Go	Veḷḷu		neg	they-n	past	veḷḷ-lēdu
Go	Veḷḷu		neg	i	present	veḷḷ-ḍam-lēdu
Go	Veḷḷu		neg	you	present	veḷḷ-ḍam-lēdu
Go	Veḷḷu		neg	he	present	veḷḷ-ḍam-lēdu
Go	Veḷḷu		neg	she	present	veḷḷ-ḍam-lēdu
Go	Veḷḷu		neg	we	present	veḷḷ-ḍam-lēdu
Go	Veḷḷu		neg	formal	present	veḷḷ-ḍam-lēdu
Go	Veḷḷu		neg	it	present	veḷḷ-ḍam-lēdu
Go	Veḷḷu		neg	they-n	present	veḷḷ-ḍam-lēdu
Eat	Tinu		pos	i	past	tinn-ānu
Eat	Tinu		pos	you	past	tinn-āvu
Eat	Tinu		pos	he	past	tinn-āḍu
Eat	Tinu		pos	she	past	tinn-indi
Eat	Tinu		pos	we	past	tinn-āmu
Eat	Tinu		pos	formal	past	tinn-āru
Eat	Tinu		pos	it	past	tinn-indi
Eat	Tinu		pos	they-n	past	tinn-āyi
Eat	Tinu		pos	i	present	tin-ṭunnānu
Eat	Tinu		pos	you	present	tin-ṭunnāvu
Eat	Tinu		pos	he	present	tin-ṭunnāḍu
Eat	Tinu		pos	she	present	tin-ṭondi
Eat	Tinu		pos	we	present	tin-ṭunnāmu
Eat	Tinu		pos	formal	present	tin-ṭunnāru
Eat	Tinu		pos	it	present	tin-ṭondi
Eat	Tinu		pos	they-n	present	tin-ṭunnāyi
Eat	Tinu		pos	i	future	tin-ṭānu
Eat	Tinu		pos	you	future	tin-ṭāvu
Eat	Tinu		pos	he	future	tin-ṭāḍu
Eat	Tinu		pos	she	future	tin-ṭundi
Eat	Tinu		pos	we	future	tin-ṭāmu
Eat	Tinu		pos	formal	future	tin-ṭāru
Eat	Tinu		pos	it	future	tin-ṭundi
Eat	Tinu		pos	they-n	future	tin-ṭāyi
Eat	Tinu		neg	i	future	tin-anu
Eat	Tinu		neg	you	future	tin-avu
Eat	Tinu		neg	he	future	tin-aḍu
Eat	Tinu		neg	she	future	tin-adu
Eat	Tinu		neg	we	future	tin-amu
Eat	Tinu		neg	formal	future	tin-aru
Eat	Tinu		neg	it	future	tin-adu
Eat	Tinu		neg	they-n	future	tin-avu
Eat	Tinu		neg	i	past	tin-lēdu
Eat	Tinu		neg	you	past	tin-lēdu
Eat	Tinu		neg	he	past	tin-lēdu
Eat	Tinu		neg	she	past	tin-lēdu
Eat	Tinu		neg	we	past	tin-lēdu
Eat	Tinu		neg	formal	past	tin-lēdu
Eat	Tinu		neg	it	past	tin-lēdu
Eat	Tinu		neg	they-n	past	tin-lēdu
Eat	Tinu		neg	i	present	tin-ḍam-lēdu
Eat	Tinu		neg	you	present	tin-ḍam-lēdu
Eat	Tinu		neg	he	present	tin-ḍam-lēdu
Eat	Tinu		neg	she	present	tin-ḍam-lēdu
Eat	Tinu		neg	we	present	tin-ḍam-lēdu
Eat	Tinu		neg	formal	present	tin-ḍam-lēdu
Eat	Tinu		neg	it	present	tin-ḍam-lēdu
Eat	Tinu		neg	they-n	present	tin-ḍam-lēdu
Drink	Tāgu		pos	i	past	tāg-ānu
Drink	Tāgu		pos	you	past	tāg-āvu
Drink	Tāgu		pos	he	past	tāg-tāgu
Drink	Tāgu		pos	she	past	tāg-indi
Drink	Tāgu		pos	we	past	tāg-āmu
Drink	Tāgu		pos	formal	past	tāg-āru
Drink	Tāgu		pos	it	past	tāg-indi
Drink	Tāgu		pos	they-n	past	tāg-āyi
Drink	Tāgu		pos	i	present	tāg-tunnānu
Drink	Tāgu		pos	you	present	tāg-tunnāvu
Drink	Tāgu		pos	he	present	tāg-tunntāgu
Drink	Tāgu		pos	she	present	tāg-tōndi
Drink	Tāgu		pos	we	present	tāg-tunnāmu
Drink	Tāgu		pos	formal	present	tāg-tunnāru
Drink	Tāgu		pos	it	present	tāg-tōndi
Drink	Tāgu		pos	they-n	present	tāg-tunnāyi
Drink	Tāgu		pos	i	future	tāg-tānu
Drink	Tāgu		pos	you	future	tāg-tāvu
Drink	Tāgu		pos	he	future	tāg-ttāgu
Drink	Tāgu		pos	she	future	tāg-tundi
Drink	Tāgu		pos	we	future	tāg-tāmu
Drink	Tāgu		pos	formal	future	tāg-tāru
Drink	Tāgu		pos	it	future	tāg-tundi
Drink	Tāgu		pos	they-n	future	tāg-tāyi
Drink	Tāgu		neg	i	future	tāg-anu
Drink	Tāgu		neg	you	future	tāg-avu
Drink	Tāgu		neg	he	future	tāg-aḍu
Drink	Tāgu		neg	she	future	tāg-adu
Drink	Tāgu		neg	we	future	tāg-amu
Drink	Tāgu		neg	formal	future	tāg-aru
Drink	Tāgu		neg	it	future	tāg-adu
Drink	Tāgu		neg	they-n	future	tāg-avu
Drink	Tāgu		neg	i	past	tāg-lēdu
Drink	Tāgu		neg	you	past	tāg-lēdu
Drink	Tāgu		neg	he	past	tāg-lēdu
Drink	Tāgu		neg	she	past	tāg-lēdu
Drink	Tāgu		neg	we	past	tāg-lēdu
Drink	Tāgu		neg	formal	past	tāg-lēdu
Drink	Tāgu		neg	it	past	tāg-lēdu
Drink	Tāgu		neg	they-n	past	tāg-lēdu
Drink	Tāgu		neg	i	present	tāg-ḍam-lēdu
Drink	Tāgu		neg	you	present	tāg-ḍam-lēdu
Drink	Tāgu		neg	he	present	tāg-ḍam-lēdu
Drink	Tāgu		neg	she	present	tāg-ḍam-lēdu
Drink	Tāgu		neg	we	present	tāg-ḍam-lēdu
Drink	Tāgu		neg	formal	present	tāg-ḍam-lēdu
Drink	Tāgu		neg	it	present	tāg-ḍam-lēdu
Drink	Tāgu		neg	they-n	present	tāg-ḍam-lēdu
Tell	Cheppu		pos	i	past	chepp-ānu
Tell	Cheppu		pos	you	past	chepp-āvu
Tell	Cheppu		pos	he	past	chepp-cheppu
Tell	Cheppu		pos	she	past	chepp-indi
Tell	Cheppu		pos	we	past	chepp-āmu
Tell	Cheppu		pos	formal	past	chepp-āru
Tell	Cheppu		pos	it	past	chepp-indi
Tell	Cheppu		pos	they-n	past	chepp-āyi
Tell	Cheppu		pos	i	present	chepp-tunnānu
Tell	Cheppu		pos	you	present	chepp-tunnāvu
Tell	Cheppu		pos	he	present	chepp-tunncheppu
Tell	Cheppu		pos	she	present	chepp-tōndi
Tell	Cheppu		pos	we	present	chepp-tunnāmu
Tell	Cheppu		pos	formal	present	chepp-tunnāru
Tell	Cheppu		pos	it	present	chepp-tōndi
Tell	Cheppu		pos	they-n	present	chepp-tunnāyi
Tell	Cheppu		pos	i	future	chepp-tānu
Tell	Cheppu		pos	you	future	chepp-tāvu
Tell	Cheppu		pos	he	future	chepp-tcheppu
Tell	Cheppu		pos	she	future	chepp-tundi
Tell	Cheppu		pos	we	future	chepp-tāmu
Tell	Cheppu		pos	formal	future	chepp-tāru
Tell	Cheppu		pos	it	future	chepp-tundi
Tell	Cheppu		pos	they-n	future	chepp-tāyi
Tell	Cheppu		neg	i	future	chepp-anu
Tell	Cheppu		neg	you	future	chepp-avu
Tell	Cheppu		neg	he	future	chepp-aḍu
Tell	Cheppu		neg	she	future	chepp-adu
Tell	Cheppu		neg	we	future	chepp-amu
Tell	Cheppu		neg	formal	future	chepp-aru
Tell	Cheppu		neg	it	future	chepp-adu
Tell	Cheppu		neg	they-n	future	chepp-avu
Tell	Cheppu		neg	i	past	chepp-lēdu
Tell	Cheppu		neg	you	past	chepp-lēdu
Tell	Cheppu		neg	he	past	chepp-lēdu
Tell	Cheppu		neg	she	past	chepp-lēdu
Tell	Cheppu		neg	we	past	chepp-lēdu
Tell	Cheppu		neg	formal	past	chepp-lēdu
Tell	Cheppu		neg	it	past	chepp-lēdu
Tell	Cheppu		neg	they-n	past	chepp-lēdu
Tell	Cheppu		neg	i	present	chepp-ḍam-lēdu
Tell	Cheppu		neg	you	present	chepp-ḍam-lēdu
