telugu	తెలుగు	Telugu (the language)
mukhyaṁ	ముఖ్యం	important
nimiṣālu	నిమిషాలు	minutes
pustakālu	పుస్తకాలు	books (plural of pustakaṁ)
andariki	అందరికి	to everyone
ārōgyaṁ	ఆరోగ్యం	health
biji	బిజీ	busy (English loan)
ṭaiṁ	టైం	time (English loan)
egjāṁ	ఎగ్జాం	exam (English loan)
seṭṭiṅg	సెట్టింగ్	setting (English loan)
ku	కు	-ku — to, for (dative; goes after the noun)
nu	ను	-nu — marks the direct object (accusative)
ni	ని	-ni — marks the direct object, after stems ending -i or -u
la	ల	-la — the plural -lu in its oblique form, used before another suffix
gāru	గారు	-gāru — polite suffix on a name or title, roughly "-ji" / Mr., Mrs.
